,Name,Manufacturer:,Cores:,Memory:,Processor:,Interconnect:,Linpack Performance (Rmax),Theoretical Peak (Rpeak),Nmax,HPCG [TFlop/s],Power Measurement Level:,Operating System:,Compiler:,Math Library:,MPI:,Power:,Nhalf
0,BlueGene/L - eServer Blue Gene Solution,IBM,"131,072",0 GB,PowerPC 440 2C 700MHz,Proprietary,280.6 TFlop/s,367 TFlop/s,"1,769,471",False,False,CNK/SLES 9,False,False,False,"1,433.00 kW",False
1,BGW - eServer Blue Gene Solution,IBM,"40,960",0 GB,PowerPC 440 2C 700MHz,Proprietary,91.29 TFlop/s,114.688 TFlop/s,"983,039",False,False,CNK/SLES 9,False,False,False,448.00 kW,False
2,ASC Purple - eServer pSeries p5 575 1.9 GHz,IBM,"12,208",0 GB,POWER5 2C 1.9GHz,Federation,75.76 TFlop/s,92.781 TFlop/s,"1,383,600",False,False,AIX,False,False,False,"1,992.00 kW",False
3,"Columbia - SGI Altix 1.5 GHz, Voltaire Infiniband",HPE,"10,160",0 GB,Itanium 2 Montecito 2C 1.6GHz,Numalink/Infiniband,51.87 TFlop/s,60.96 TFlop/s,"1,290,240",False,False,Linux,False,False,False,False,False
4,"Tera-10 - NovaScale 5160, Itanium2 1.6 GHz, Quadrics",Atos,"8,704",0 GB,Itanium 2 Montecito 2C 1.6GHz,Quadrics,42.9 TFlop/s,55.7056 TFlop/s,False,False,False,Linux,False,False,False,False,False
5,"Thunderbird - PowerEdge 1850, 3.6 GHz, Infiniband",Dell EMC,"9,024",0 GB,Xeon EM64T  3.6GHz,Infiniband,53 TFlop/s,64.9728 TFlop/s,False,False,False,Linux,False,False,False,False,False
6,"TSUBAME Grid Cluster - Sun Fire x4600 Cluster, Opteron 2.4/2.6 GHz, Infiniband",NEC/Sun,"10,368",0 GB,Opteron Dual Core 2C 2.4GHz,Infiniband,38.18 TFlop/s,49.8688 TFlop/s,"1,334,160",False,False,Linux,False,False,False,False,False
7,JUBL - eServer Blue Gene Solution,IBM,"16,384",0 GB,PowerPC 440 2C 700MHz,Proprietary,37.33 TFlop/s,45.875 TFlop/s,"663,551",False,False,CNK/SLES 9,False,False,False,179.00 kW,False
8,"Red Storm Cray XT3, 2.0 GHz",Cray/HPE,"10,880",0 GB,Opteron  2GHz,XT3 Internal Interconnect,36.19 TFlop/s,43.52 TFlop/s,"1,100,000",False,False,UNICOS/Linux,False,False,False,False,False
9,Earth-Simulator,NEC,"5,120",0 GB,NEC  1GHz,Multi-stage crossbar,35.86 TFlop/s,40.96 TFlop/s,"1,075,200",False,False,Super-UX,False,False,False,"3,200.00 kW","266,240"
10,"MareNostrum - JS20 Cluster, PPC 970, 2.2 GHz, Myrinet",IBM,"4,800",0 GB,PowerPC 970 2C 2.2GHz,Myrinet,27.91 TFlop/s,42.144 TFlop/s,"977,816",False,False,Linux,False,False,False,False,False
11,Stella - eServer Blue Gene Solution,IBM,"12,288",0 GB,PowerPC 440 2C 700MHz,Proprietary,27.45 TFlop/s,34.4064 TFlop/s,"516,095",False,False,CNK/SLES 9,False,False,False,134.00 kW,False
12,"Jaguar - Cray XT3, 2.4 GHz",Cray/HPE,"5,200",0 GB,Opteron  2.4GHz,XT3 Internal Interconnect,20.527 TFlop/s,24.96 TFlop/s,False,False,False,UNICOS,False,False,False,False,False
13,Thunder - Intel Itanium2 Tiger4  1.4GHz - Quadrics,California Digital Corporation,"4,096",0 GB,Itanium 2  1.4GHz,Quadrics,19.94 TFlop/s,22.938 TFlop/s,"975,000",False,False,Linux,False,False,False,False,"110,000"
14,Blue Protein - eServer Blue Gene Solution,IBM,"8,192",0 GB,PowerPC 440 2C 700MHz,Proprietary,18.665 TFlop/s,22.9376 TFlop/s,"442,367",False,False,CNK/SLES 9,False,False,False,89.00 kW,False
15,eServer Blue Gene Solution,IBM,"8,192",0 GB,PowerPC 440 2C 700MHz,Proprietary,18.665 TFlop/s,22.9376 TFlop/s,"442,367",False,False,CNK/SLES 9,False,False,False,89.00 kW,False
16,KEK/BG Sakura - eServer Blue Gene Solution,IBM,"8,192",0 GB,PowerPC 440 2C 700MHz,Proprietary,18.665 TFlop/s,22.9376 TFlop/s,"442,367",False,False,CNK/SLES 9,False,False,False,89.00 kW,False
17,KEK/BG MOMO - eServer Blue Gene Solution,IBM,"8,192",0 GB,PowerPC 440 2C 700MHz,Proprietary,18.665 TFlop/s,22.9376 TFlop/s,"442,367",False,False,CNK/SLES 9,False,False,False,89.00 kW,False
18,eServer Blue Gene Solution,IBM,"8,192",0 GB,PowerPC 440 2C 700MHz,Proprietary,18.665 TFlop/s,22.9376 TFlop/s,"442,367",False,False,CNK/SLES 9,False,False,False,89.00 kW,False
19,"Sapphire - Cray XT3, 2.6 GHz",Cray/HPE,"4,096",0 GB,Opteron  2.6GHz,XT3 Internal Interconnect,16.975 TFlop/s,21.299 TFlop/s,False,False,False,UNICOS,False,False,False,False,False
20,"MACH5 - Apple XServe, 2.0 GHz, Myrinet",Self-made,"3,072",0 GB,PowerPC 970 2C 2GHz,Myrinet,16.18 TFlop/s,24.576 TFlop/s,"750,000",False,False,MacOS X,False,False,False,False,"160,000"
21,Cray X1E (4GB),Cray/HPE,"1,020",0 GB,Cray X1E 2C 1.13GHz,Crossbar,15.706 TFlop/s,18.442 TFlop/s,False,False,False,UNICOS,False,False,False,False,False
22,"Big Red - BladeCenter JS21 Cluster, PPC 970, 2.5 GHz, Myrinet",IBM,"2,048",0 GB,PowerPC 970 2C 2.5GHz,Myrinet,15.04 TFlop/s,20.48 TFlop/s,False,False,False,Linux,False,False,False,False,False
23,Cray X1E (2GB),Cray/HPE,"1,014",0 GB,Cray X1E 2C 1.13GHz,Crossbar,14.955 TFlop/s,18.333 TFlop/s,False,False,False,UNICOS,False,False,False,False,False
